_id,id,username,followers,text,hashtags,created,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb8"")",1.23992E+18,ElenaPewtress,637,@realDonaldTrump You're at fault for the slow response to this. You're responsible for deaths. So STFU. You need to… https://t.co/RZAutlRhHC,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacb9"")",1.23992E+18,usatransam,40,Lawyers do Lie! Where’s the Proof... karma does happen to those that mess with peoples livelihood and personal judg… https://t.co/2OQmI681cf,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacba"")",1.23992E+18,AuthorRJStevems,1654,RT @gatewaypundit: British Study Forecasting 2 Million U.S. Deaths This Year Prompted Trump to Ramp Up Coronavirus Precautions @KristinnFR…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacbb"")",1.23992E+18,loopypops09,35,RT @NorbertElekes: BREAKING: France's president suspends payment of taxes, rent, gas, and electricity bills for companies during cor…,[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacbc"")",1.23992E+18,thekenshain,410,RT @thekenshain: @mtracey Well, the neocons got what they wanted out of Trump; the investigations proved to be wildly successful. And they…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacbd"")",1.23992E+18,shawn16464926,121,"RT @TheQniversity: ""TRUTH IS A FORCE OF NATURE!"" (Donald J Trump). https://t.co/0FkZVYzCDF",[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacbe"")",1.23992E+18,KarenATTaylor,8117,RT @ChrisMurphyCT: Trump's dismissive instruction to Governors on ventilator shortages," ""try getting [them] yourselves""",[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacbf"")",1.23992E+18,waynewolfe18,2098,RT @CallingBSonU: Russia didn't work. Impeachment didn't work. Mass hysteria from an overhyped virus won't work.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Our votes are set. They w…,[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc0"")",1.23992E+18,Phil_of_Marz,238,"RT @kylegriffin1: ""Trump has refused repeated warnings to rely on experts", or to neutralize some of the power held by his son-in-law,[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc1"")",1.23992E+18,Itsme4681Laura,5430,"RT @TheTrumpPage1: Trump's change in tone yesterday on China? No longer calls it ""Coronavirus"""," now calls it and tweets it as ""Chinesevirus…","2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc2"")",1.23992E+18,leemack2,11039,RT @Razorsmack1: #RazorTrain 1846,,,,,,,,,,,,,,
🇺🇸Add-On Patriot Train,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
🔴President Trump has had to deal with enormous pressure and total stupidity durin…,"[{text"":""RazorTrain""",indices:[17,"28]}]""","2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc3"")",1.23992E+18,toschie,1741,RT @realTuckFrumper: Trump Refuses To Take Power Away From Jared Kushner As Coronavirus Epidemic Spreads https://t.co/BRF2d5eMe6,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc4"")",1.23992E+18,ThatNalgonsita,144,RT @JackieY101: Our president called the Coronavirus...The Chinese virus...bro...why is he our president? Why the fuck did people vote for…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc5"")",1.23992E+18,GoodGollyNo,2,#NAME?, very high.,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc6"")",1.23992E+18,MichelleN20,7474,RT @Shawtypepelina: The failing @nytimes decided to send me an email this morning. First mistake was not correcting what your POS authors a…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc7"")",1.23992E+18,WarDamnBourbon,78,RT @shomikdutta: This is a great reminder of how Trump lied about and ignored a clear and present danger to his fellow Americans: https://t…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc8"")",1.23992E+18,DIEJAMES,877,RT @Jwalk35_: 90's babies done went through two Economic Crashes, 9/11, Trump presidency, and a Global Pandemic all before 30 shee…,[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacc9"")",1.23992E+18,FMeuwissen,177,RT @davidfrum: The President of the United States is up past midnight, not doing any useful work for the nation,[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacca"")",1.23992E+18,drc573,10076,RT @TeaPainUSA: Trump has led us into a recession in less than 2 weeks.  Economists are now debatin’ whether we are facin’ an eventual depr…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4bc4dbc3d94b4caccb"")",1.23992E+18,AuderyLi26,1,Trump inflamed racism to deflect controversy for the election, he is the virus！！,,,,,,,,,,,,,
#TrumpVirus,,,,,,,,,,,,,,,,,,
#TrumpLiesAboutCoronavirus,"[{text"":""TrumpVirus""",indices:[81,92]},"{""text"":""TrumpLiesAboutCoronavirus""",indices:[93,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4bc4dbc3d94b4caccc"")",1.23992E+18,arkylicious,528,RT @morten: Trump on March 10: “As you know, it’s about 600 cases, within our country. And had we not acted quickly,…,[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,
"ObjectId(""5e70de4bc4dbc3d94b4caccd"")",1.23992E+18,Brian19321,410,"RT @GregMannarino: The Trump administration wants an $850 billion ""economic stimulus"" plan... Note the terminology.. This ""stimulus plan"" i…",[],,,,,,,,,,,,,
"ObjectId(""5e70de4bc4dbc3d94b4cacce"")",1.23992E+18,HARD_HODL,270,RT @Placebo90511492: #KathyGriffin... Who should have been charged for calling for the death of our president.. Now Karma has called upon h…,"[{text"":""KathyGriffin""","34]}]""","2020-03-17T14:27:17.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de4bc4dbc3d94b4caccf"")",1.23992E+18,bzwatching,572,RT @independant1492: 70% of Americans think Trump is a lying chump.,[],,,,,,,,,,,,,
"ObjectId(""5e70de4bc4dbc3d94b4cacd0"")",1.23992E+18,embeeie,159,RT @PresidentIRL: Watch the full #StPatricksDay message from President Michael D. Higgins at https://t.co/4fl36aJxil,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#coronavirus #ireland…,"[{text"":""StPatricksDay""",indices:[33,47]},"{""text"":""coronavirus""",indices:[118,"{""text"":""ireland""",indices:[131,"139]}]""","2020-03-17T14:27:17.000Z""""",,,,,,,,,
